covariate,smd_pre,abs_smd_pre,smd_post,abs_smd_post
age_max,0.12215777289986529,0.12215777289986529,-0.010878052483754454,0.010878052483754454
age_mean,0.12215777289986529,0.12215777289986529,-0.010878052483754454,0.010878052483754454
age_median,0.12215777289986529,0.12215777289986529,-0.010878052483754454,0.010878052483754454
age_min,0.12215777289986529,0.12215777289986529,-0.010878052483754454,0.010878052483754454
age_std,0.0,0.0,0.0,0.0
any_vasopressor_delta,-0.11748922571763772,0.11748922571763772,0.04858221748324725,0.04858221748324725
any_vasopressor_max,0.4386133993984221,0.4386133993984221,0.17399986003825493,0.17399986003825493
any_vasopressor_mean,0.2891823607991748,0.2891823607991748,0.08696213370740404,0.08696213370740404
any_vasopressor_median,0.0708218553457359,0.0708218553457359,0.019993003672857564,0.019993003672857564
any_vasopressor_min,0.054884713108771015,0.054884713108771015,0.0,0.0
any_vasopressor_post_mean,0.47085852249891885,0.47085852249891885,0.2327574140980703,0.2327574140980703
any_vasopressor_pre_mean,0.2891823607991748,0.2891823607991748,0.08696213370740404,0.08696213370740404
any_vasopressor_slope,0.07597793638908837,0.07597793638908837,0.03016152230381642,0.03016152230381642
any_vasopressor_std,0.3891403494094559,0.3891403494094559,0.12186214357299169,0.12186214357299169
apsiii_max,0.5038629831468355,0.5038629831468355,0.2249725083627468,0.2249725083627468
apsiii_mean,0.5038629831468355,0.5038629831468355,0.2249725083627468,0.2249725083627468
apsiii_median,0.5038629831468355,0.5038629831468355,0.2249725083627468,0.2249725083627468
apsiii_min,0.5038629831468355,0.5038629831468355,0.2249725083627468,0.2249725083627468
apsiii_std,0.0,0.0,0.0,0.0
bilirubin_direct_delta,0.0,0.0,0.0,0.0
bilirubin_direct_max,0.0,0.0,0.0,0.0
bilirubin_direct_mean,0.0,0.0,0.0,0.0
bilirubin_direct_median,0.0,0.0,0.0,0.0
bilirubin_direct_min,0.0,0.0,0.0,0.0
bilirubin_direct_post_mean,0.0,0.0,0.0,0.0
bilirubin_direct_pre_mean,0.0,0.0,0.0,0.0
bilirubin_direct_slope,0.0,0.0,0.0,0.0
bilirubin_direct_std,0.0,0.0,0.0,0.0
bilirubin_indirect_delta,0.0,0.0,0.0,0.0
bilirubin_indirect_max,0.0,0.0,0.0,0.0
bilirubin_indirect_mean,0.0,0.0,0.0,0.0
bilirubin_indirect_median,0.0,0.0,0.0,0.0
bilirubin_indirect_min,0.0,0.0,0.0,0.0
bilirubin_indirect_post_mean,0.0,0.0,0.0,0.0
bilirubin_indirect_pre_mean,0.0,0.0,0.0,0.0
bilirubin_indirect_slope,0.0,0.0,0.0,0.0
bilirubin_indirect_std,0.0,0.0,0.0,0.0
bilirubin_neonatal_delta,0.0,0.0,0.0,0.0
bilirubin_neonatal_max,0.0,0.0,0.0,0.0
bilirubin_neonatal_mean,0.0,0.0,0.0,0.0
bilirubin_neonatal_median,0.0,0.0,0.0,0.0
bilirubin_neonatal_min,0.0,0.0,0.0,0.0
bilirubin_neonatal_post_mean,0.0,0.0,0.0,0.0
bilirubin_neonatal_pre_mean,0.0,0.0,0.0,0.0
bilirubin_neonatal_slope,0.0,0.0,0.0,0.0
bilirubin_neonatal_std,0.0,0.0,0.0,0.0
bilirubin_total_delta,0.1817926712100633,0.1817926712100633,0.0906072299835613,0.0906072299835613
bilirubin_total_max,0.1707647896253623,0.1707647896253623,0.09877610115077122,0.09877610115077122
bilirubin_total_mean,0.1645189966559401,0.1645189966559401,0.0945179172670773,0.0945179172670773
bilirubin_total_median,0.15445613270479577,0.15445613270479577,0.09010919555392106,0.09010919555392106
bilirubin_total_min,0.11683330274286301,0.11683330274286301,0.09733445464375838,0.09733445464375838
bilirubin_total_post_mean,0.23188111155148963,0.23188111155148963,0.1264819717318314,0.1264819717318314
bilirubin_total_pre_mean,0.1645189966559401,0.1645189966559401,0.0945179172670773,0.0945179172670773
bilirubin_total_slope,0.08126426018081924,0.08126426018081924,0.04279844703830421,0.04279844703830421
bilirubin_total_std,0.12276752265582623,0.12276752265582623,0.05626931063903968,0.05626931063903968
bmi_max,-0.1293207981142597,0.1293207981142597,0.02063430267785234,0.02063430267785234
bmi_mean,-0.1293207981142597,0.1293207981142597,0.02063430267785234,0.02063430267785234
bmi_median,-0.1293207981142597,0.1293207981142597,0.02063430267785234,0.02063430267785234
bmi_min,-0.1293207981142597,0.1293207981142597,0.02063430267785234,0.02063430267785234
bmi_std,0.0,0.0,0.0,0.0
congestive_heart_failure_max,0.0819019167036046,0.0819019167036046,0.03991732839884675,0.03991732839884675
congestive_heart_failure_mean,0.0819019167036046,0.0819019167036046,0.03991732839884675,0.03991732839884675
congestive_heart_failure_median,0.0819019167036046,0.0819019167036046,0.03991732839884675,0.03991732839884675
congestive_heart_failure_min,0.0819019167036046,0.0819019167036046,0.03991732839884675,0.03991732839884675
congestive_heart_failure_std,0.0,0.0,0.0,0.0
creatinine_delta,0.1345157931173244,0.1345157931173244,0.02410003407229165,0.02410003407229165
creatinine_max,0.16089328569430197,0.16089328569430197,0.062411055584150436,0.062411055584150436
creatinine_mean,0.15673335554710166,0.15673335554710166,0.06517736484068554,0.06517736484068554
creatinine_median,0.12692242979730092,0.12692242979730092,0.04950424475184615,0.04950424475184615
creatinine_min,0.22628596408133034,0.22628596408133034,0.2079374353365857,0.2079374353365857
creatinine_post_mean,0.20717865480364542,0.20717865480364542,0.06733192129532518,0.06733192129532518
creatinine_pre_mean,0.15673335554710166,0.15673335554710166,0.06517736484068554,0.06517736484068554
creatinine_slope,0.0677138741373883,0.0677138741373883,-0.012416881114803779,0.012416881114803779
creatinine_std,0.04861960225096851,0.04861960225096851,-0.033701311239523725,0.033701311239523725
dbp_delta,-0.25855712266449316,0.25855712266449316,-0.09430977368375597,0.09430977368375597
dbp_max,-0.22247669202140616,0.22247669202140616,-0.01743169504537085,0.01743169504537085
dbp_mean,-0.2109964779137192,0.2109964779137192,-0.03620267733953324,0.03620267733953324
dbp_median,-0.153176573639241,0.153176573639241,-0.011608204229448341,0.011608204229448341
dbp_min,-0.22736793014995738,0.22736793014995738,-0.09034829815734044,0.09034829815734044
dbp_post_mean,-0.4905696814875164,0.4905696814875164,-0.13932024089200373,0.13932024089200373
dbp_pre_mean,-0.2109964779137192,0.2109964779137192,-0.03620267733953324,0.03620267733953324
dbp_slope,-0.19613540694966106,0.19613540694966106,-0.1047207640893546,0.1047207640893546
dbp_std,-0.23780338987974675,0.23780338987974675,-0.15448380185523133,0.15448380185523133
diabetes_with_cc_max,0.0551549639861391,0.0551549639861391,0.01676617575209928,0.01676617575209928
diabetes_with_cc_mean,0.0551549639861391,0.0551549639861391,0.01676617575209928,0.01676617575209928
diabetes_with_cc_median,0.0551549639861391,0.0551549639861391,0.01676617575209928,0.01676617575209928
diabetes_with_cc_min,0.0551549639861391,0.0551549639861391,0.01676617575209928,0.01676617575209928
diabetes_with_cc_std,0.0,0.0,0.0,0.0
diabetes_without_cc_max,-0.0016672003296438268,0.0016672003296438268,-0.02244576274750398,0.02244576274750398
diabetes_without_cc_mean,-0.0016672003296438268,0.0016672003296438268,-0.02244576274750398,0.02244576274750398
diabetes_without_cc_median,-0.0016672003296438268,0.0016672003296438268,-0.02244576274750398,0.02244576274750398
diabetes_without_cc_min,-0.0016672003296438268,0.0016672003296438268,-0.02244576274750398,0.02244576274750398
diabetes_without_cc_std,0.0,0.0,0.0,0.0
epinephrine_rate_mcgkgmin_max,0.10010551771472019,0.10010551771472019,0.0552154101001438,0.0552154101001438
epinephrine_rate_mcgkgmin_mean,0.08226528682505631,0.08226528682505631,0.023647828439457064,0.023647828439457064
epinephrine_rate_mcgkgmin_median,0.035043625725375574,0.035043625725375574,0.008878277908186554,0.008878277908186554
epinephrine_rate_mcgkgmin_min,0.01939190237179083,0.01939190237179083,0.01413648216133285,0.01413648216133285
epinephrine_rate_mcgkgmin_std,0.10063938704347115,0.10063938704347115,0.044585215814622686,0.044585215814622686
hba1c_max,0.0,0.0,0.0,0.0
hba1c_mean,0.0,0.0,0.0,0.0
hba1c_median,0.0,0.0,0.0,0.0
hba1c_min,0.0,0.0,0.0,0.0
hba1c_std,0.0,0.0,0.0,0.0
hba2_max,0.0,0.0,0.0,0.0
hba2_mean,0.0,0.0,0.0,0.0
hba2_median,0.0,0.0,0.0,0.0
hba2_min,0.0,0.0,0.0,0.0
hba2_std,0.0,0.0,0.0,0.0
hbs_max,0.0,0.0,0.0,0.0
hbs_mean,0.0,0.0,0.0,0.0
hbs_median,0.0,0.0,0.0,0.0
hbs_min,0.0,0.0,0.0,0.0
hbs_std,0.0,0.0,0.0,0.0
heart_rate_delta,0.1463393357413547,0.1463393357413547,0.012648164692657615,0.012648164692657615
heart_rate_max,0.16213170391224316,0.16213170391224316,0.1372193579360702,0.1372193579360702
heart_rate_mean,0.06283044968374653,0.06283044968374653,0.034543539975347884,0.034543539975347884
heart_rate_median,0.04354673592267778,0.04354673592267778,0.018002691793685178,0.018002691793685178
heart_rate_min,0.2279877055950399,0.2279877055950399,0.09049665576072548,0.09049665576072548
heart_rate_post_mean,0.19262409718753729,0.19262409718753729,0.04850202446778051,0.04850202446778051
heart_rate_pre_mean,0.06283044968374653,0.06283044968374653,0.034543539975347884,0.034543539975347884
heart_rate_slope,0.21878569529744957,0.21878569529744957,0.16124735907276314,0.16124735907276314
heart_rate_std,-0.010969320735355878,0.010969320735355878,0.02935147318717682,0.02935147318717682
hematocrit_max,0.0,0.0,0.0,0.0
hematocrit_mean,0.0,0.0,0.0,0.0
hematocrit_median,0.0,0.0,0.0,0.0
hematocrit_min,0.0,0.0,0.0,0.0
hematocrit_std,0.0,0.0,0.0,0.0
hemoglobin_delta,-0.13283657162903847,0.13283657162903847,0.1153980408631769,0.1153980408631769
hemoglobin_max,-0.5969503219665437,0.5969503219665437,-0.5174678205104527,0.5174678205104527
hemoglobin_mean,-1.0051142548500578,1.0051142548500578,-0.4423760718079884,0.4423760718079884
hemoglobin_median,-0.7837225119042874,0.7837225119042874,-0.3017094756400018,0.3017094756400018
hemoglobin_min,-1.1671968503206436,1.1671968503206436,-0.4992228088102153,0.4992228088102153
hemoglobin_post_mean,-1.3263163273975522,1.3263163273975522,-0.465027821613258,0.465027821613258
hemoglobin_pre_mean,-1.0051142548500578,1.0051142548500578,-0.4423760718079884,0.4423760718079884
hemoglobin_slope,-0.3831684215218801,0.3831684215218801,-0.32399787782856526,0.32399787782856526
hemoglobin_std,0.6653859156619762,0.6653859156619762,0.12100063865439692,0.12100063865439692
lactate_delta,0.018487357502050692,0.018487357502050692,-0.011833496169937759,0.011833496169937759
lactate_max,0.42039481976373133,0.42039481976373133,0.22953278325317505,0.22953278325317505
lactate_mean,0.29421191462403934,0.29421191462403934,0.14455727440184885,0.14455727440184885
lactate_median,0.2236981681596869,0.2236981681596869,0.09996702152520297,0.09996702152520297
lactate_min,0.09510755359720299,0.09510755359720299,0.0962899966114387,0.0962899966114387
lactate_post_mean,0.2854245318127746,0.2854245318127746,0.12544059875942787,0.12544059875942787
lactate_pre_mean,0.29421191462403934,0.29421191462403934,0.14455727440184885,0.14455727440184885
lactate_slope,0.18801820191028662,0.18801820191028662,0.2488640469524204,0.2488640469524204
lactate_std,0.38389362189922477,0.38389362189922477,0.20123149416641253,0.20123149416641253
malignant_cancer_max,0.11080329541570588,0.11080329541570588,0.006743193982673864,0.006743193982673864
malignant_cancer_mean,0.11080329541570588,0.11080329541570588,0.006743193982673864,0.006743193982673864
malignant_cancer_median,0.11080329541570588,0.11080329541570588,0.006743193982673864,0.006743193982673864
malignant_cancer_min,0.11080329541570588,0.11080329541570588,0.006743193982673864,0.006743193982673864
malignant_cancer_std,0.0,0.0,0.0,0.0
mbp_max,-0.0946606766335289,0.0946606766335289,0.030191553148673618,0.030191553148673618
mbp_mean,-0.17892766946037575,0.17892766946037575,-0.019919037412150963,0.019919037412150963
mbp_median,-0.1465139050353842,0.1465139050353842,-0.014739778473133954,0.014739778473133954
mbp_min,-0.20390280962697263,0.20390280962697263,-0.0886191951624182,0.0886191951624182
mbp_std,-0.18231462031147197,0.18231462031147197,-0.10471826417314187,0.10471826417314187
methemoglobin_delta,0.0,0.0,0.0,0.0
methemoglobin_max,0.0,0.0,0.0,0.0
methemoglobin_mean,0.0,0.0,0.0,0.0
methemoglobin_median,0.0,0.0,0.0,0.0
methemoglobin_min,0.0,0.0,0.0,0.0
methemoglobin_post_mean,0.0,0.0,0.0,0.0
methemoglobin_pre_mean,0.0,0.0,0.0,0.0
methemoglobin_slope,0.0,0.0,0.0,0.0
methemoglobin_std,0.0,0.0,0.0,0.0
mild_liver_disease_max,0.23747382471921283,0.23747382471921283,0.09223381712445552,0.09223381712445552
mild_liver_disease_mean,0.23747382471921283,0.23747382471921283,0.09223381712445552,0.09223381712445552
mild_liver_disease_median,0.23747382471921283,0.23747382471921283,0.09223381712445552,0.09223381712445552
mild_liver_disease_min,0.23747382471921283,0.23747382471921283,0.09223381712445552,0.09223381712445552
mild_liver_disease_std,0.0,0.0,0.0,0.0
norepinephrine_rate_mcgkgmin_max,0.10649054207603129,0.10649054207603129,0.15379898495848812,0.15379898495848812
norepinephrine_rate_mcgkgmin_mean,0.04966302724890464,0.04966302724890464,0.017230324531073347,0.017230324531073347
norepinephrine_rate_mcgkgmin_median,0.02554809907373733,0.02554809907373733,-0.006069396901940514,0.006069396901940514
norepinephrine_rate_mcgkgmin_min,0.02096166676997057,0.02096166676997057,0.013211455657180854,0.013211455657180854
norepinephrine_rate_mcgkgmin_std,0.10110300389846205,0.10110300389846205,0.08763507651986374,0.08763507651986374
platelets_delta,-0.3718793938480637,0.3718793938480637,-0.16739366493924787,0.16739366493924787
platelets_max,-0.04230244431515777,0.04230244431515777,-0.05448231353731528,0.05448231353731528
platelets_mean,-0.20920105737305522,0.20920105737305522,-0.07986874762286413,0.07986874762286413
platelets_median,-0.16040745705685464,0.16040745705685464,-0.046236478466114755,0.046236478466114755
platelets_min,-0.4204313815195099,0.4204313815195099,-0.16743276029078089,0.16743276029078089
platelets_post_mean,-0.39232690720253327,0.39232690720253327,-0.16624780860274224,0.16624780860274224
platelets_pre_mean,-0.20920105737305522,0.20920105737305522,-0.07986874762286413,0.07986874762286413
platelets_slope,-0.20690076093499596,0.20690076093499596,-0.17103336401998007,0.17103336401998007
platelets_std,0.2812353583613127,0.2812353583613127,0.06639087626982182,0.06639087626982182
renal_disease_max,0.17862357149932445,0.17862357149932445,0.032878799675915595,0.032878799675915595
renal_disease_mean,0.17862357149932445,0.17862357149932445,0.032878799675915595,0.032878799675915595
renal_disease_median,0.17862357149932445,0.17862357149932445,0.032878799675915595,0.032878799675915595
renal_disease_min,0.17862357149932445,0.17862357149932445,0.032878799675915595,0.032878799675915595
renal_disease_std,0.0,0.0,0.0,0.0
resp_rate_delta,0.07018492620126522,0.07018492620126522,-0.016330230480480334,0.016330230480480334
resp_rate_max,0.027768536689241667,0.027768536689241667,0.12866469588854054,0.12866469588854054
resp_rate_mean,-0.06885355726761565,0.06885355726761565,0.054190779516014274,0.054190779516014274
resp_rate_median,-0.04988827929045678,0.04988827929045678,0.06034353288513622,0.06034353288513622
resp_rate_min,-0.1166145954512888,0.1166145954512888,-0.05996330108501047,0.05996330108501047
resp_rate_post_mean,-0.007071868389415925,0.007071868389415925,0.040049250366786096,0.040049250366786096
resp_rate_pre_mean,-0.06885355726761565,0.06885355726761565,0.054190779516014274,0.054190779516014274
resp_rate_slope,0.10716462606713516,0.10716462606713516,0.0334582946173282,0.0334582946173282
resp_rate_std,-0.11116474010952826,0.11116474010952826,0.021564465861590543,0.021564465861590543
sapsii_max,0.5361806341325207,0.5361806341325207,0.21336895597639496,0.21336895597639496
sapsii_mean,0.5361806341325207,0.5361806341325207,0.21336895597639496,0.21336895597639496
sapsii_median,0.5361806341325207,0.5361806341325207,0.21336895597639496,0.21336895597639496
sapsii_min,0.5361806341325207,0.5361806341325207,0.21336895597639496,0.21336895597639496
sapsii_std,0.0,0.0,0.0,0.0
sbp_delta,0.10427625401529948,0.10427625401529948,0.01433911022174148,0.01433911022174148
sbp_max,-0.19016141554090796,0.19016141554090796,-0.008106710713588556,0.008106710713588556
sbp_mean,-0.2990862757836149,0.2990862757836149,-0.07914688273844625,0.07914688273844625
sbp_median,-0.2777014393899606,0.2777014393899606,-0.07995358261928538,0.07995358261928538
sbp_min,-0.2811022213872977,0.2811022213872977,-0.1131250159348038,0.1131250159348038
