code,label,n_conditions,features_used,axes_used,n_axes,n_pairs,prevalence,mort_t,mort_c,diff,ci_lo,ci_hi,p_perm,score,hb_mean,hb_p50,q_fdr,diff_pp,ci_lo_pp,ci_hi_pp,abs_diff_pp,robust
R157-195-408,dbp_delta <= q0.35 (-8.606) AND glucose_lab_std <= q0.20 (0) AND platelets_slope <= q0.35 (-0.07924),3,"dbp_delta,glucose_lab_std,platelets_slope","perfusion,other,organ_failure",3,1560,0.123271434215725,0.1544871794871795,0.48333333333333334,-0.32884615384615384,-0.3594503904309292,-0.2982419172613785,1.834917058270265e-98,150.66523564103707,8.40846153846154,8.1,5.321259468983768e-95,-32.88461538461539,-35.94503904309292,-29.82419172613785,32.88461538461539,True
R157-196-408,dbp_delta <= q0.35 (-8.606) AND glucose_lab_std <= q0.35 (0) AND platelets_slope <= q0.35 (-0.07924),3,"dbp_delta,glucose_lab_std,platelets_slope","perfusion,other,organ_failure",3,1560,0.123271434215725,0.1544871794871795,0.48333333333333334,-0.32884615384615384,-0.3594503904309292,-0.2982419172613785,1.834917058270265e-98,150.66523564103707,8.40846153846154,8.1,5.321259468983768e-95,-32.88461538461539,-35.94503904309292,-29.82419172613785,32.88461538461539,True
R157-196-261,dbp_delta <= q0.35 (-8.606) AND glucose_lab_std <= q0.35 (0) AND hemoglobin_slope <= q0.35 (-0.006063),3,"dbp_delta,glucose_lab_std,hemoglobin_slope","perfusion,other,anemia",3,1501,0.11860924535756617,0.16522318454363757,0.4943371085942705,-0.3291139240506329,-0.36062196267427266,-0.2976058854269931,3.750126117640493e-93,147.90899699614306,8.127714856762159,8.0,5.437682870578715e-90,-32.91139240506329,-36.06219626742727,-29.760588542699313,32.91139240506329,True
R157-195-261,dbp_delta <= q0.35 (-8.606) AND glucose_lab_std <= q0.20 (0) AND hemoglobin_slope <= q0.35 (-0.006063),3,"dbp_delta,glucose_lab_std,hemoglobin_slope","perfusion,other,anemia",3,1501,0.11860924535756617,0.16522318454363757,0.4943371085942705,-0.3291139240506329,-0.36062196267427266,-0.2976058854269931,3.750126117640493e-93,147.90899699614306,8.127714856762159,8.0,5.437682870578715e-90,-32.91139240506329,-36.06219626742727,-29.760588542699313,32.91139240506329,True
R195-261-352,glucose_lab_std <= q0.20 (0) AND hemoglobin_slope <= q0.35 (-0.006063) AND mbp_median > q0.65 (89),3,"glucose_lab_std,hemoglobin_slope,mbp_median","other,anemia,perfusion",3,1461,0.11544843935203476,0.17385352498288842,0.4996577686516085,-0.3258042436687201,-0.3579759542881571,-0.29363253304928305,1.124135855061826e-87,144.45741330010716,8.09883641341547,7.9,1.0866646598930983e-84,-32.58042436687201,-35.79759542881571,-29.363253304928307,32.58042436687201,True
R196-261-352,glucose_lab_std <= q0.35 (0) AND hemoglobin_slope <= q0.35 (-0.006063) AND mbp_median > q0.65 (89),3,"glucose_lab_std,hemoglobin_slope,mbp_median","other,anemia,perfusion",3,1461,0.11544843935203476,0.17385352498288842,0.4996577686516085,-0.3258042436687201,-0.3579759542881571,-0.29363253304928305,1.124135855061826e-87,144.45741330010716,8.09883641341547,7.9,1.0866646598930983e-84,-32.58042436687201,-35.79759542881571,-29.363253304928307,32.58042436687201,True
R171-196-261,dbp_median > q0.65 (72) AND glucose_lab_std <= q0.35 (0) AND hemoglobin_slope <= q0.35 (-0.006063),3,"dbp_median,glucose_lab_std,hemoglobin_slope","perfusion,other,anemia",3,1435,0.11339391544843935,0.17491289198606272,0.4989547038327526,-0.3240418118466899,-0.35653205976608054,-0.29155156392729925,4.283443558550001e-85,142.39180378087823,8.07205574912892,7.9,2.4843972639590008e-82,-32.40418118466899,-35.65320597660806,-29.155156392729925,32.40418118466899,True
R171-195-261,dbp_median > q0.65 (72) AND glucose_lab_std <= q0.20 (0) AND hemoglobin_slope <= q0.35 (-0.006063),3,"dbp_median,glucose_lab_std,hemoglobin_slope","perfusion,other,anemia",3,1435,0.11339391544843935,0.17491289198606272,0.4989547038327526,-0.3240418118466899,-0.35653205976608054,-0.29155156392729925,4.283443558550001e-85,142.39180378087823,8.07205574912892,7.9,2.4843972639590008e-82,-32.40418118466899,-35.65320597660806,-29.155156392729925,32.40418118466899,True
R195-352-408,glucose_lab_std <= q0.20 (0) AND mbp_median > q0.65 (89) AND platelets_slope <= q0.35 (-0.07924),3,"glucose_lab_std,mbp_median,platelets_slope","other,perfusion,organ_failure",3,1478,0.11679178190438562,0.17185385656292287,0.4884979702300406,-0.31664411366711775,-0.34857168624031276,-0.28471654109392275,3.6504182806185323e-84,141.21038115380244,8.427401894451963,8.0,1.7643688356322907e-81,-31.664411366711775,-34.857168624031274,-28.471654109392276,31.664411366711775,True
R196-352-408,glucose_lab_std <= q0.35 (0) AND mbp_median > q0.65 (89) AND platelets_slope <= q0.35 (-0.07924),3,"glucose_lab_std,mbp_median,platelets_slope","other,perfusion,organ_failure",3,1478,0.11679178190438562,0.17185385656292287,0.4884979702300406,-0.31664411366711775,-0.34857168624031276,-0.28471654109392275,3.6504182806185323e-84,141.21038115380244,8.427401894451963,8.0,1.7643688356322907e-81,-31.664411366711775,-34.857168624031274,-28.471654109392276,31.664411366711775,True
R196-284-408,glucose_lab_std <= q0.35 (0) AND lactate_slope > q0.65 (0.0002952) AND platelets_slope <= q0.35 (-0.07924),3,"glucose_lab_std,lactate_slope,platelets_slope","other,perfusion,organ_failure",3,1626,0.12848676412485183,0.17404674046740468,0.4747847478474785,-0.30073800738007384,-0.33121398402912594,-0.27026203073102173,2.410860774135952e-83,140.6716487694933,8.39680196801968,8.1,8.739370306242827e-81,-30.073800738007385,-33.1213984029126,-27.026203073102174,30.073800738007385,True
R195-284-408,glucose_lab_std <= q0.20 (0) AND lactate_slope > q0.65 (0.0002952) AND platelets_slope <= q0.35 (-0.07924),3,"glucose_lab_std,lactate_slope,platelets_slope","other,perfusion,organ_failure",3,1626,0.12848676412485183,0.17404674046740468,0.4747847478474785,-0.30073800738007384,-0.33121398402912594,-0.27026203073102173,2.410860774135952e-83,140.6716487694933,8.39680196801968,8.1,8.739370306242827e-81,-30.073800738007385,-33.1213984029126,-27.026203073102174,30.073800738007385,True
R171-196-408,dbp_median > q0.65 (72) AND glucose_lab_std <= q0.35 (0) AND platelets_slope <= q0.35 (-0.07924),3,"dbp_median,glucose_lab_std,platelets_slope","perfusion,other,organ_failure",3,1454,0.11489529830106678,0.17262723521320494,0.48762035763411277,-0.3149931224209078,-0.34720305681862024,-0.2827831880231954,6.904584348579838e-82,139.32891783565415,8.401375515818431,8.0,2.2248105123201698e-79,-31.49931224209078,-34.72030568186202,-28.27831880231954,31.49931224209078,True
R171-195-408,dbp_median > q0.65 (72) AND glucose_lab_std <= q0.20 (0) AND platelets_slope <= q0.35 (-0.07924),3,"dbp_median,glucose_lab_std,platelets_slope","perfusion,other,organ_failure",3,1454,0.11489529830106678,0.17262723521320494,0.48762035763411277,-0.3149931224209078,-0.34720305681862024,-0.2827831880231954,6.904584348579838e-82,139.32891783565415,8.401375515818431,8.0,2.2248105123201698e-79,-31.49931224209078,-34.72030568186202,-28.27831880231954,31.49931224209078,True
R195-261-348,glucose_lab_std <= q0.20 (0) AND hemoglobin_slope <= q0.35 (-0.006063) AND mbp_mean > q0.65 (85.7),3,"glucose_lab_std,hemoglobin_slope,mbp_mean","other,anemia,perfusion",3,1235,0.0975898854207823,0.16842105263157894,0.5068825910931174,-0.3384615384615385,-0.37329201111501603,-0.30363106580806093,7.078525276819466e-81,137.97512373334104,8.077165991902834,7.9,1.866156663888768e-78,-33.84615384615385,-37.329201111501604,-30.363106580806093,33.84615384615385,True
R196-261-348,glucose_lab_std <= q0.35 (0) AND hemoglobin_slope <= q0.35 (-0.006063) AND mbp_mean > q0.65 (85.7),3,"glucose_lab_std,hemoglobin_slope,mbp_mean","other,anemia,perfusion",3,1235,0.0975898854207823,0.16842105263157894,0.5068825910931174,-0.3384615384615385,-0.37329201111501603,-0.30363106580806093,7.078525276819466e-81,137.97512373334104,8.077165991902834,7.9,1.866156663888768e-78,-33.84615384615385,-37.329201111501604,-30.363106580806093,33.84615384615385,True
R196-261-284,glucose_lab_std <= q0.35 (0) AND hemoglobin_slope <= q0.35 (-0.006063) AND lactate_slope > q0.65 (0.0002952),3,"glucose_lab_std,hemoglobin_slope,lactate_slope","other,anemia,perfusion",3,1529,0.12082180956143816,0.17920209287115763,0.4833224329627207,-0.3041203400915631,-0.33569538232164225,-0.2725452978614839,1.727844323053345e-79,137.94539255685612,8.093394375408765,7.9,3.579106097753358e-77,-30.412034009156308,-33.56953823216423,-27.25452978614839,30.412034009156308,True
R195-261-284,glucose_lab_std <= q0.20 (0) AND hemoglobin_slope <= q0.35 (-0.006063) AND lactate_slope > q0.65 (0.0002952),3,"glucose_lab_std,hemoglobin_slope,lactate_slope","other,anemia,perfusion",3,1529,0.12082180956143816,0.17920209287115763,0.4833224329627207,-0.3041203400915631,-0.33569538232164225,-0.2725452978614839,1.727844323053345e-79,137.94539255685612,8.093394375408765,7.9,3.579106097753358e-77,-30.412034009156308,-33.56953823216423,-27.25452978614839,30.412034009156308,True
