code,label,n_conditions,features_used,axes_used,n_axes,n_pairs,prevalence,mort_t,mort_c,diff,ci_lo,ci_hi,p_perm,score,hb_mean,hb_p50,q_fdr,diff_pp,ci_lo_pp,ci_hi_pp,abs_diff_pp,robust,signature,stability
R1-284,alkaline_phosphatase_max > q0.35 (75) AND lactate_slope > q0.65 (0.0002952),2,"alkaline_phosphatase_max,lactate_slope","other,perfusion",2,654,0.05167917819043856,0.672782874617737,0.40672782874617736,0.26605504587155965,0.21399221018012105,0.31811788156299825,1.2947981238729066e-23,73.48253490306263,7.928746177370032,7.5,1.9582344507073948e-23,26.605504587155966,21.399221018012106,31.811788156299826,26.605504587155966,True,harm | alkaline_phosphatase > ; lactate >,1.0
R8-508,alkaline_phosphatase_mean > q0.65 (75) AND sapsii_min > q0.65 (43),2,"alkaline_phosphatase_mean,sapsii_min","other,severity",2,1129,0.08921374950612407,0.7139061116031886,0.4552701505757307,0.2586359610274579,0.2194080459151221,0.2978638761397937,3.3562524393227595e-38,93.85548018266628,7.61452612931798,7.2,1.059676872513446e-37,25.863596102745788,21.94080459151221,29.78638761397937,25.863596102745788,True,harm | alkaline_phosphatase > ; sapsii >,1.0
R132-169,creatinine_max > q0.80 (1.6) AND dbp_median <= q0.20 (52),2,"creatinine_max,dbp_median","organ_failure,perfusion",2,913,0.07214539707625445,0.6746987951807228,0.4315443592552026,0.24315443592552022,0.19893114966531394,0.2873777221857265,4.433375332389081e-27,79.34897867150084,7.73329682365827,7.3,7.745053291523093e-27,24.315443592552022,19.893114966531396,28.737772218572648,24.315443592552022,True,harm | creatinine > ; dbp <=,1.0
R7-125,alkaline_phosphatase_mean > q0.50 (75) AND ck_total_std > q0.65 (0),2,"alkaline_phosphatase_mean,ck_total_std","other,other",1,831,0.06566574476491506,0.6823104693140795,0.43922984356197353,0.24308062575210593,0.1968128281964528,0.28934842330775906,7.2391319359107635e-25,70.073023626732,7.780024067388689,7.5,1.141570560855966e-24,24.30806257521059,19.68128281964528,28.934842330775908,24.30806257521059,True,harm | alkaline_phosphatase > ; ck_total >,1.0
R132-284,creatinine_max > q0.80 (1.6) AND lactate_slope > q0.65 (0.0002952),2,"creatinine_max,lactate_slope","organ_failure,perfusion",2,753,0.059502173054128804,0.649402390438247,0.4169986719787517,0.2324037184594953,0.1833951449108826,0.281412292008108,1.478684587531826e-20,68.87542886396584,8.020982735723772,7.5,2.0556976528486554e-20,23.240371845949532,18.33951449108826,28.141229200810802,23.240371845949532,True,harm | creatinine > ; lactate >,1.0
R6-98,alkaline_phosphatase_mean > q0.35 (75) AND bilirubin_total_slope > q0.35 (0),2,"alkaline_phosphatase_mean,bilirubin_total_slope","other,organ_failure",2,1067,0.08431450019755038,0.669165885660731,0.4423617619493908,0.22680412371134018,0.18575300777209366,0.2678552396505867,2.5131105632536643e-27,80.0123289468889,7.813870665417057,7.4,4.433102575082498e-27,22.680412371134018,18.575300777209367,26.785523965058673,22.680412371134018,True,harm | alkaline_phosphatase > ; bilirubin_total >,1.0
R7-351,alkaline_phosphatase_mean > q0.50 (75) AND mbp_median <= q0.35 (73),2,"alkaline_phosphatase_mean,mbp_median","other,perfusion",2,1194,0.0943500592651126,0.6750418760469011,0.4564489112227806,0.21859296482412055,0.17981117680426117,0.2573747528439799,2.2537820307729154e-28,81.5759423596154,7.564740368509212,7.2,4.155097195957696e-28,21.859296482412056,17.981117680426117,25.73747528439799,21.859296482412056,True,harm | alkaline_phosphatase > ; mbp <=,1.0
R132-261,creatinine_max > q0.80 (1.6) AND hemoglobin_slope <= q0.35 (-0.006063),2,"creatinine_max,hemoglobin_slope","organ_failure,anemia",2,803,0.06345318056104307,0.589041095890411,0.3711083437110834,0.21793275217932756,0.17023974976781706,0.2656257545908381,3.36052106743598e-19,66.69665162123535,7.537359900373598,7.3,4.479664948547158e-19,21.793275217932756,17.023974976781705,26.56257545908381,21.793275217932756,True,harm | creatinine > ; hemoglobin <=,1.0
R132-351,creatinine_max > q0.80 (1.6) AND mbp_median <= q0.35 (73),2,"creatinine_max,mbp_median","organ_failure,perfusion",2,1379,0.10896878704069538,0.659173313995649,0.444525018129079,0.21464829586657003,0.17840275654956728,0.2508938351835728,3.786425119974352e-31,86.08615951500865,7.730166787527195,7.3,7.8657828423535964e-31,21.464829586657004,17.840275654956727,25.089383518357277,21.464829586657004,True,harm | creatinine > ; mbp <=,1.0
R0-437,alkaline_phosphatase_max > q0.20 (75) AND pt_mean > q0.80 (15.35),2,"alkaline_phosphatase_max,pt_mean","other,organ_failure",2,1053,0.08320821809561438,0.671415004748338,0.45963912630579296,0.21177587844254508,0.17041186192290042,0.25313989496218975,1.0714779995531731e-23,74.21888625493564,7.663912630579298,7.3,1.6234515144745048e-23,21.177587844254507,17.04118619229004,25.313989496218976,21.177587844254507,True,harm | alkaline_phosphatase > ; pt >,1.0
