code,label,n_conditions,features_used,axes_used,n_axes,n_pairs,prevalence,mort_t,mort_c,diff,ci_lo,ci_hi,p_perm,score,hb_mean,hb_p50,feature,feature_base,axis,op,thr,q
R507,sapsii_min <= q0.35 (34),1,sapsii_min,"severity,severity",1,4529,0.35788225997629397,0.22654007507175977,0.40715389710752925,-0.18061382203576948,-0.19941193104179622,-0.16181571302974274,4.140730764661491e-79,121.54921078528623,9.69666593066902,8.6,sapsii_min,sapsii,severity,<=,34.0,0.35
R495,sapsii_max <= q0.35 (34),1,sapsii_max,"severity,severity",1,4529,0.35788225997629397,0.22654007507175977,0.40715389710752925,-0.18061382203576948,-0.19941193104179622,-0.16181571302974274,4.140730764661491e-79,121.54921078528623,9.69666593066902,8.6,sapsii_max,sapsii,severity,<=,34.0,0.35
R499,sapsii_mean <= q0.35 (34),1,sapsii_mean,"severity,severity",1,4529,0.35788225997629397,0.22654007507175977,0.40715389710752925,-0.18061382203576948,-0.19941193104179622,-0.16181571302974274,4.140730764661491e-79,121.54921078528623,9.69666593066902,8.6,sapsii_mean,sapsii,severity,<=,34.0,0.35
R503,sapsii_median <= q0.35 (34),1,sapsii_median,"severity,severity",1,4529,0.35788225997629397,0.22654007507175977,0.40715389710752925,-0.18061382203576948,-0.19941193104179622,-0.16181571302974274,4.140730764661491e-79,121.54921078528623,9.69666593066902,8.6,sapsii_median,sapsii,severity,<=,34.0,0.35
R494,sapsii_max <= q0.20 (29),1,sapsii_max,"severity,severity",1,2643,0.20885025681548794,0.18274687854710556,0.41241013999243287,-0.2296632614453273,-0.253523365948874,-0.20580315694178064,2.179420838051266e-79,118.07014851236262,9.85754824063564,8.8,sapsii_max,sapsii,severity,<=,29.0,0.2
R498,sapsii_mean <= q0.20 (29),1,sapsii_mean,"severity,severity",1,2643,0.20885025681548794,0.18274687854710556,0.41241013999243287,-0.2296632614453273,-0.253523365948874,-0.20580315694178064,2.179420838051266e-79,118.07014851236262,9.85754824063564,8.8,sapsii_mean,sapsii,severity,<=,29.0,0.2
R502,sapsii_median <= q0.20 (29),1,sapsii_median,"severity,severity",1,2643,0.20885025681548794,0.18274687854710556,0.41241013999243287,-0.2296632614453273,-0.253523365948874,-0.20580315694178064,2.179420838051266e-79,118.07014851236262,9.85754824063564,8.8,sapsii_median,sapsii,severity,<=,29.0,0.2
R506,sapsii_min <= q0.20 (29),1,sapsii_min,"severity,severity",1,2643,0.20885025681548794,0.18274687854710556,0.41241013999243287,-0.2296632614453273,-0.253523365948874,-0.20580315694178064,2.179420838051266e-79,118.07014851236262,9.85754824063564,8.8,sapsii_min,sapsii,severity,<=,29.0,0.2
R352,mbp_median > q0.65 (89),1,mbp_median,"perfusion,perfusion",1,4381,0.34618727775582775,0.2862360191737046,0.44373430723579094,-0.15749828806208632,-0.1773878260349848,-0.13760875008918785,2.518677376996616e-54,104.24673556655844,10.38386213193335,9.4,mbp_median,mbp,perfusion,>,89.0,0.65
R171,dbp_median > q0.65 (72),1,dbp_median,"perfusion,perfusion",1,4413,0.34871592256025286,0.29118513482891456,0.43915703602991163,-0.14797190120099707,-0.16782332723301385,-0.12812047516898029,2.4330966697086106e-48,98.2983476383256,10.358259687287559,9.4,dbp_median,dbp,perfusion,>,72.0,0.65
R640,urea_min <= q0.20 (14),1,urea_min,"organ_failure,organ_failure",1,2866,0.22647175029632557,0.24389392882065597,0.4225401256106071,-0.17864619678995114,-0.2026095505896128,-0.15468284299028948,2.3636600737139782e-48,95.63830443731999,8.275610607117935,8.0,urea_min,urea,organ_failure,<=,14.0,0.2
R348,mbp_mean > q0.65 (85.7),1,mbp_mean,"perfusion,perfusion",1,4428,0.34990122481232716,0.29494128274616077,0.4369918699186992,-0.14205058717253843,-0.16189649888749458,-0.12220467545758229,1.0353917989831725e-44,94.52503336763584,10.344738030713641,9.4,mbp_mean,mbp,perfusion,>,85.7,0.65
R134,creatinine_mean <= q0.35 (0.9),1,creatinine_mean,"organ_failure,organ_failure",1,4605,0.36388779138680366,0.28859934853420194,0.4271444082519001,-0.13854505971769815,-0.15792035780190264,-0.11916976163349366,1.2587626446382616e-44,94.01688577053136,8.720065146579802,8.1,creatinine_mean,creatinine,organ_failure,<=,0.8999999999999992,0.35
