code,label,source,n_pairs,mort_t,mort_c,diff,ci_lo,ci_hi,p_perm,stability,subsample_lo,subsample_hi,hb_mean,hb_p50,q_fdr,diff_pp,ci_lo_pp,ci_hi_pp,abs_diff_pp,robust
C2_metastatic_solid_tumor_mean_hb_le_med,Cluster 2 | metastatic solid tumor > 0 and hemoglobin_min <= mediana_hb_cluster (8.6),comorb,209,0.7990430622009569,0.42105263157894735,0.37799043062200954,0.2822966507177033,0.46411483253588515,0.0024937655860349127,1.0,0.330688622754491,0.41916167664670656,7.084210526315789,7.1,0.007232651509057269,37.8,28.23,46.41,37.8,True
C1_metastatic_solid_tumor_mean_any,Cluster 1 | metastatic solid tumor > 0,comorb,168,0.8095238095238095,0.44047619047619047,0.36904761904761907,0.27961309523809524,0.4523809523809524,0.0024937655860349127,1.0,0.3283582089552239,0.41623134328358213,7.327976190476191,6.95,0.007232651509057269,36.9,27.96,45.24,36.9,False
C2_metastatic_solid_tumor_mean_any,Cluster 2 | metastatic solid tumor > 0,comorb,481,0.7546777546777547,0.4095634095634096,0.34511434511434513,0.2826923076923077,0.4095634095634096,0.0024937655860349127,1.0,0.3194805194805195,0.37402597402597404,10.17879417879418,9.3,0.007232651509057269,34.51,28.27,40.96,34.51,True
C2_metastatic_solid_tumor_mean_hb_gt_med,Cluster 2 | metastatic solid tumor > 0 and hemoglobin_min > mediana_hb_cluster (8.6),comorb,272,0.7205882352941176,0.4007352941176471,0.31985294117647056,0.23161764705882354,0.4007352941176471,0.0024937655860349127,1.0,0.280848623853211,0.3577981651376147,12.556617647058824,14.0,0.007232651509057269,31.99,23.16,40.07,31.99,True
C1_malignant_cancer_mean_hb_le_med,Cluster 1 | malignant cancer > 0 and hemoglobin_min <= mediana_hb_cluster (7.3),comorb,244,0.7131147540983607,0.45081967213114754,0.26229508196721313,0.1843237704918033,0.3524590163934426,0.0024937655860349127,1.0,0.21653846153846154,0.30256410256410254,6.709426229508197,6.8,0.007232651509057269,26.23,18.43,35.25,26.23,True
C2_malignant_cancer_mean_hb_le_med,Cluster 2 | malignant cancer > 0 and hemoglobin_min <= mediana_hb_cluster (8.6),comorb,517,0.6769825918762089,0.4332688588007737,0.2437137330754352,0.18181818181818182,0.2978723404255319,0.0024937655860349127,1.0,0.21793478260869564,0.2777777777777778,7.071953578336557,7.0,0.007232651509057269,24.37,18.18,29.79,24.37,True
C1_malignant_cancer_mean_any,Cluster 1 | malignant cancer > 0,comorb,403,0.7022332506203474,0.47146401985111663,0.23076923076923078,0.17115384615384616,0.2928660049627791,0.0024937655860349127,1.0,0.19254658385093168,0.26327639751552795,7.331761786600496,7.0,0.007232651509057269,23.08,17.12,29.29,23.08,True
C2_dementia_mean_any,Cluster 2 | dementia > 0,comorb,159,0.559748427672956,0.36477987421383645,0.1949685534591195,0.09433962264150944,0.30204402515723255,0.0024937655860349127,1.0,0.14173228346456693,0.2501968503937008,9.457232704402516,8.0,0.007232651509057269,19.5,9.43,30.2,19.5,False
C2_malignant_cancer_mean_any,Cluster 2 | malignant cancer > 0,comorb,1088,0.6323529411764706,0.43933823529411764,0.19301470588235295,0.15068933823529412,0.2261029411764706,0.0024937655860349127,1.0,0.1749712643678161,0.2160919540229885,9.825735294117647,8.9,0.007232651509057269,19.3,15.07,22.61,19.3,True
C1_malignant_cancer_mean_hb_gt_med,Cluster 1 | malignant cancer > 0 and hemoglobin_min > mediana_hb_cluster (7.3),comorb,159,0.6855345911949685,0.5031446540880503,0.18238993710691823,0.0878930817610063,0.29559748427672955,0.0024937655860349127,1.0,0.13385826771653545,0.23622047244094488,8.286792452830188,8.1,0.007232651509057269,18.24,8.79,29.56,18.24,False
C2_severe_liver_disease_mean_hb_le_med,Cluster 2 | severe liver disease > 0 and hemoglobin_min <= mediana_hb_cluster (8.6),comorb,310,0.6258064516129033,0.45483870967741935,0.17096774193548386,0.09346774193548388,0.24838709677419354,0.0024937655860349127,1.0,0.13306451612903225,0.21370967741935484,7.084838709677419,7.05,0.007232651509057269,17.1,9.35,24.84,17.1,True
