code,label,source,mortality_diff_pp_primary,mortality_q_fdr_primary,mortality_robust_primary,n_pairs_primary,outcome,n_pairs,diff_mean,ci_lo,ci_hi,p_perm,stability,subsample_lo,subsample_hi,is_binary,effect_display,ci_lo_display,ci_hi_display,abs_effect_display,q_fdr_global,q_fdr_outcome,secondary_robust
C1_dementia_mean_spo2_mean_high,Cluster 1 | dementia > 0 and spo2 mean > mediana_cluster (97.3),comorb_lab_vital,43.9,0.0085689110207513,False,41,icu_los_hours,41,528.180894308943,238.43419715447155,762.2820121951218,0.0024937655860349127,1.0,402.60890151515156,653.9040404040403,False,+528.181h,+238.434h,+762.282h,528.180894308943,0.005159515005589475,0.003117206982543641,False
C1_dementia_mean_spo2_mean_high,Cluster 1 | dementia > 0 and spo2 mean > mediana_cluster (97.3),comorb_lab_vital,43.9,0.0085689110207513,False,41,vm_time_hours,39,98.32777777777777,47.70570512820513,155.2613568376068,0.0024937655860349127,1.0,65.0467741935484,121.75108870967742,False,+98.328h,+47.706h,+155.261h,98.32777777777777,0.005159515005589475,0.003117206982543641,False
C1_dementia_mean_spo2_mean_high,Cluster 1 | dementia > 0 and spo2 mean > mediana_cluster (97.3),comorb_lab_vital,43.9,0.0085689110207513,False,41,ventilation_hours,41,42.49593495934958,18.443445121951218,72.51183943089428,0.007481296758104738,1.0,30.108712121212115,55.3147095959596,False,+42.496h,+18.443h,+72.512h,42.49593495934958,0.014027431421446383,0.009351620947630923,False
C1_dementia_mean_spo2_mean_high,Cluster 1 | dementia > 0 and spo2 mean > mediana_cluster (97.3),comorb_lab_vital,43.9,0.0085689110207513,False,41,any_vasopressor,41,-0.12195121951219512,-0.2932926829268292,0.07317073170731707,0.3167082294264339,0.985,-0.21212121212121213,-0.030303030303030304,True,-12.20 pp,-29.33 pp,+7.32 pp,12.195121951219512,0.36543257241511606,0.3167082294264339,False
C1_dementia_mean_spo2_mean_high,Cluster 1 | dementia > 0 and spo2 mean > mediana_cluster (97.3),comorb_lab_vital,43.9,0.0085689110207513,False,41,rrt_on,41,-0.07317073170731707,-0.1951219512195122,0.024390243902439025,0.38902743142144636,0.985,-0.12121212121212122,-0.030303030303030304,True,-7.32 pp,-19.51 pp,+2.44 pp,7.317073170731707,0.44040841292993926,0.5361596009975063,False
C1_dementia_mean_spo2_mean_high,Cluster 1 | dementia > 0 and spo2 mean > mediana_cluster (97.3),comorb_lab_vital,43.9,0.0085689110207513,False,41,nee_mcgkgmin_max,41,0.047073170731707324,-0.13404268292682928,0.2744878048780487,0.9351620947630923,0.8,-0.10152272727272726,0.11060606060606061,False,+0.047 mcg/kg/min,-0.134 mcg/kg/min,+0.274 mcg/kg/min,0.047073170731707324,0.951012299759077,0.9351620947630923,False
C1_malignant_cancer_mean_resp_rate_mean_high,Cluster 1 | malignant cancer > 0 and resp rate mean > mediana_cluster (20),comorb_lab_vital,29.69,0.0026267792712422,True,229,icu_los_hours,229,950.5549490538574,812.2606895924308,1121.9461881368265,0.0024937655860349127,1.0,857.7738501821493,1023.2755009107468,False,+950.555h,+812.261h,+1121.946h,950.5549490538574,0.005159515005589475,0.003117206982543641,True
C1_malignant_cancer_mean_resp_rate_mean_high,Cluster 1 | malignant cancer > 0 and resp rate mean > mediana_cluster (20),comorb_lab_vital,29.69,0.0026267792712422,True,229,vm_time_hours,205,159.69357723577235,129.8073211382114,191.92335772357723,0.0024937655860349127,1.0,145.23028963414637,174.67436991869917,False,+159.694h,+129.807h,+191.923h,159.69357723577235,0.005159515005589475,0.003117206982543641,True
C1_malignant_cancer_mean_resp_rate_mean_high,Cluster 1 | malignant cancer > 0 and resp rate mean > mediana_cluster (20),comorb_lab_vital,29.69,0.0026267792712422,True,229,ventilation_hours,229,84.46397379912663,66.6949326783115,105.5393558951965,0.0024937655860349127,1.0,75.28331056466301,94.26527777777778,False,+84.464h,+66.695h,+105.539h,84.46397379912663,0.005159515005589475,0.0035625222657641614,True
C1_malignant_cancer_mean_resp_rate_mean_high,Cluster 1 | malignant cancer > 0 and resp rate mean > mediana_cluster (20),comorb_lab_vital,29.69,0.0026267792712422,True,229,rrt_on,229,0.12663755458515283,0.07423580786026202,0.18351528384279467,0.0024937655860349127,1.0,0.09289617486338798,0.1531420765027323,True,+12.66 pp,+7.42 pp,+18.35 pp,12.663755458515283,0.005159515005589475,0.00831255195344971,True
C1_malignant_cancer_mean_resp_rate_mean_high,Cluster 1 | malignant cancer > 0 and resp rate mean > mediana_cluster (20),comorb_lab_vital,29.69,0.0026267792712422,True,229,any_vasopressor,229,-0.11790393013100436,-0.20098253275109168,-0.034934497816593885,0.012468827930174564,1.0,-0.15846994535519127,-0.07650273224043716,True,-11.79 pp,-20.10 pp,-3.49 pp,11.790393013100436,0.020781379883624274,0.03117206982543641,True
C1_malignant_cancer_mean_resp_rate_mean_high,Cluster 1 | malignant cancer > 0 and resp rate mean > mediana_cluster (20),comorb_lab_vital,29.69,0.0026267792712422,True,229,nee_mcgkgmin_max,229,0.27126637554585153,0.06920960698689957,0.6006855895196503,0.0199501246882793,1.0,0.1544945355191257,0.36019125683060116,False,+0.271 mcg/kg/min,+0.069 mcg/kg/min,+0.601 mcg/kg/min,0.27126637554585153,0.03150019687623048,0.04987531172069826,True
C1_metastatic_solid_tumor_mean_resp_rate_mean_high,Cluster 1 | metastatic solid tumor > 0 and resp rate mean > mediana_cluster (20),comorb_lab_vital,45.65,0.0026267792712422,False,92,icu_los_hours,92,858.6639492753623,640.8659420289854,1120.3749999999998,0.0024937655860349127,1.0,727.3941441441443,954.5187218468469,False,+858.664h,+640.866h,+1120.375h,858.6639492753623,0.005159515005589475,0.003117206982543641,False
C1_metastatic_solid_tumor_mean_resp_rate_mean_high,Cluster 1 | metastatic solid tumor > 0 and resp rate mean > mediana_cluster (20),comorb_lab_vital,45.65,0.0026267792712422,False,92,vm_time_hours,77,149.12077922077918,103.73705086580088,200.90858766233762,0.0024937655860349127,1.0,118.89352822580645,169.21549731182793,False,+149.121h,+103.737h,+200.909h,149.12077922077918,0.005159515005589475,0.003117206982543641,False
