cluster_k,comorb_key,direction,n_blocos_origem,merged_hb_cut_no_hb_cut,exames_total,exames_comuns,n_exames_total,n_exames_comuns,diff_min_global_pp,diff_med_global_pp,diff_max_global_pp,hb_cut_present,no_hb_cut_present,no_hb_cut_n_regras,no_hb_cut_diff_mediana_pp,no_hb_cut_diff_faixa_pp,no_hb_cut_n_pairs,no_hb_cut_hb_media_mediana,no_hb_cut_hb_p50_mediana,no_hb_cut_rep,hb_cut_n_regras,hb_cut_diff_mediana_pp,hb_cut_diff_faixa_pp,hb_cut_n_pairs,hb_cut_hb_media_mediana,hb_cut_hb_p50_mediana,hb_cut_rep,no_hb_cut_n_exact,no_hb_cut_idade_media_exata,no_hb_cut_apsiii_medio_exato,no_hb_cut_sapsii_medio_exato,no_hb_cut_bmi_medio_exato,no_hb_cut_hb_media_exata,no_hb_cut_hb_p50_exata,no_hb_cut_exames_exatos,hb_cut_n_exact,hb_cut_idade_media_exata,hb_cut_apsiii_medio_exato,hb_cut_sapsii_medio_exato,hb_cut_bmi_medio_exato,hb_cut_hb_media_exata,hb_cut_hb_p50_exata,hb_cut_exames_exatos,hb_cut_secundarios,no_hb_cut_secundarios,no_hb_cut_rbc_event_max_mean_ml,no_hb_cut_rbc_event_max_med_ml,no_hb_cut_rbc_event_max_p25_ml,no_hb_cut_rbc_event_max_p75_ml,no_hb_cut_rbc_event_max_min_ml,no_hb_cut_rbc_event_max_max_ml,no_hb_cut_rbc_icu_total_max_mean_ml,no_hb_cut_rbc_icu_total_max_med_ml,no_hb_cut_rbc_icu_total_max_p25_ml,no_hb_cut_rbc_icu_total_max_p75_ml,no_hb_cut_rbc_icu_total_max_min_ml,no_hb_cut_rbc_icu_total_max_max_ml,hb_cut_rbc_event_max_mean_ml,hb_cut_rbc_event_max_med_ml,hb_cut_rbc_event_max_p25_ml,hb_cut_rbc_event_max_p75_ml,hb_cut_rbc_event_max_min_ml,hb_cut_rbc_event_max_max_ml,hb_cut_rbc_icu_total_max_mean_ml,hb_cut_rbc_icu_total_max_med_ml,hb_cut_rbc_icu_total_max_p25_ml,hb_cut_rbc_icu_total_max_p75_ml,hb_cut_rbc_icu_total_max_min_ml,hb_cut_rbc_icu_total_max_max_ml
2,metastatic solid tumor > 0,maleficio,1,False,creatinine; dbp; glucose lab; heart rate; hemoglobin; mbp; platelets; potassium; resp rate; sbp; sodium; spo2; temperature,creatinine; dbp; glucose lab; heart rate; hemoglobin; mbp; platelets; potassium; resp rate; sbp; sodium; spo2; temperature,13,13,33.96,37.0,44.78,False,True,13.0,37.0,+33.96 a +44.78,200-331,9.257826086956522,8.0,"resp rate (+44.78 pp, n=230)",,,,,,,,481.0,65.96049896049897,49.51143451143451,46.03118503118503,27.50761261261261,10.17879417879418,9.3,"creatinine: media=1.15, p50=0.90 | dbp: media=66.81, p50=66.00 | glucose lab: media=110.61, p50=90.00 | heart rate: media=86.18, p50=82.00 | hemoglobin: media=11.70, p50=14.00 | mbp: media=80.49, p50=80.00 | platelets: media=234.25, p50=250.00 | potassium: media=4.10, p50=4.00 | resp rate: media=18.24, p50=16.00 | sbp: media=114.59, p50=117.00 | sodium: media=138.88, p50=140.00 | spo2: media=97.75, p50=98.00 | temperature: media=36.88, p50=37.00",,,,,,,,,sem dados secundarios,ICU LOS +69.6 h (faixa +4.2 h a +97.7 h; n_codigos=13) | VM time +19.0 h (faixa +2.2 h a +22.7 h; n_codigos=13) | Ventilation +11.4 h (faixa +3.4 h a +15.3 h; n_codigos=13) | Any vasopressor -12.80 pp (faixa -17.18 pp a -4.12 pp; n_codigos=13) | RRT +0.81 pp (faixa -1.42 pp a +2.71 pp; n_codigos=13) | NEE max -0.025 mcg/kg/min (faixa -0.057 mcg/kg/min a +0.026 mcg/kg/min; n_codigos=13),566.4418711018711,350.0,350.0,375.0,8.33,11729.0,566.4418711018711,350.0,350.0,375.0,8.33,11729.0,,,,,,,,,,,,
2,malignant cancer > 0,maleficio,2,True,bilirubin total; creatinine; dbp; glucose lab; glucose vital; heart rate; hemoglobin; lactate; mbp; platelets; potassium; resp rate; sbp; sodium; spo2; temperature,bilirubin total; creatinine; dbp; glucose lab; heart rate; hemoglobin; mbp; platelets; potassium; resp rate; sbp; sodium; spo2; temperature,16,14,18.58,27.095,33.54,True,True,14.0,24.225,+21.79 a +28.49,287-644,9.03869476228053,7.975,"resp rate (+28.49 pp, n=537)",16.0,29.965,+18.58 a +33.54,238-420,7.036497445621514,7.0,"resp rate (+33.54 pp, n=325)",1088.0,68.44761029411765,51.31433823529412,45.16819852941177,27.67850615114236,9.82573529411765,8.9,"bilirubin total: media=1.09, p50=0.70 | creatinine: media=1.16, p50=0.90 | dbp: media=66.16, p50=64.00 | glucose lab: media=114.25, p50=90.00 | glucose vital: media=123.06, p50=96.50 | heart rate: media=85.80, p50=81.00 | hemoglobin: media=11.50, p50=14.00 | lactate: media=1.77, p50=1.20 | mbp: media=80.09, p50=79.00 | platelets: media=213.73, p50=250.00 | potassium: media=4.11, p50=4.00 | resp rate: media=18.53, p50=16.00 | sbp: media=115.59, p50=120.00 | sodium: media=139.08, p50=140.00 | spo2: media=97.64, p50=98.00 | temperature: media=36.92, p50=37.00",516.0,68.45736434108527,55.08139534883721,47.06395348837209,27.45801444043322,7.068992248062014,7.0,"bilirubin total: media=1.25, p50=0.70 | creatinine: media=1.32, p50=0.90 | dbp: media=63.81, p50=61.00 | glucose lab: media=121.89, p50=99.00 | glucose vital: media=129.72, p50=116.00 | heart rate: media=90.43, p50=89.00 | hemoglobin: media=9.84, p50=8.40 | lactate: media=1.92, p50=1.20 | mbp: media=77.24, p50=74.00 | platelets: media=190.53, p50=212.50 | potassium: media=4.14, p50=4.00 | resp rate: media=19.63, p50=18.00 | sbp: media=113.83, p50=114.00 | sodium: media=138.55, p50=140.00 | spo2: media=97.40, p50=98.00 | temperature: media=36.93, p50=37.00",ICU LOS +108.3 h (faixa +69.0 h a +165.0 h; n_codigos=16) | VM time +27.9 h (faixa +16.2 h a +33.3 h; n_codigos=16) | Ventilation +8.0 h (faixa +1.0 h a +12.6 h; n_codigos=16) | Any vasopressor -12.60 pp (faixa -15.69 pp a -2.52 pp; n_codigos=16) | RRT +0.38 pp (faixa -1.19 pp a +2.87 pp; n_codigos=16) | NEE max -0.065 mcg/kg/min (faixa -0.117 mcg/kg/min a +0.061 mcg/kg/min; n_codigos=16),ICU LOS +87.5 h (faixa -0.6 h a +109.3 h; n_codigos=14) | VM time +15.3 h (faixa -1.0 h a +24.1 h; n_codigos=14) | Ventilation +8.4 h (faixa -1.4 h a +10.8 h; n_codigos=14) | Any vasopressor -11.98 pp (faixa -15.77 pp a -5.29 pp; n_codigos=14) | RRT +1.08 pp (faixa -0.49 pp a +3.48 pp; n_codigos=14) | NEE max -0.031 mcg/kg/min (faixa -0.088 mcg/kg/min a +0.054 mcg/kg/min; n_codigos=14),556.2137775735295,350.0,350.0,375.0,8.33,11729.0,556.2137775735295,350.0,350.0,375.0,8.33,11729.0,396.22377906976743,350.0,303.75,375.0,8.33,11729.0,396.22377906976743,350.0,303.75,375.0,8.33,11729.0
1,malignant cancer > 0,maleficio,1,False,bilirubin total; creatinine; dbp; glucose lab; glucose vital; heart rate; hemoglobin; lactate; mbp; platelets; resp rate; sbp; sodium; spo2; temperature,bilirubin total; creatinine; dbp; glucose lab; glucose vital; heart rate; hemoglobin; lactate; mbp; platelets; resp rate; sbp; sodium; spo2; temperature,15,15,19.05,24.3,29.91,False,True,15.0,24.3,+19.05 a +29.91,201-251,7.326368159203981,7.0,"heart rate (+29.91 pp, n=224)",,,,,,,,403.0,68.3622828784119,57.87096774193548,48.002481389578165,27.553745583038868,7.331761786600496,7.0,"bilirubin total: media=1.79, p50=0.70 | creatinine: media=1.57, p50=1.10 | dbp: media=59.29, p50=57.00 | glucose lab: media=143.04, p50=131.00 | glucose vital: media=145.96, p50=133.00 | heart rate: media=92.17, p50=90.00 | hemoglobin: media=8.69, p50=8.20 | lactate: media=1.93, p50=1.30 | mbp: media=74.60, p50=72.00 | platelets: media=196.44, p50=168.00 | resp rate: media=20.87, p50=20.00 | sbp: media=115.11, p50=113.00 | sodium: media=138.56, p50=139.00 | spo2: media=96.75, p50=97.00 | temperature: media=36.95, p50=36.94",,,,,,,,,sem dados secundarios,ICU LOS +749.7 h (faixa +417.1 h a +950.6 h; n_codigos=15) | VM time +124.4 h (faixa +71.8 h a +159.7 h; n_codigos=15) | Ventilation +66.0 h (faixa +35.3 h a +84.5 h; n_codigos=15) | Any vasopressor -12.79 pp (faixa -22.22 pp a +0.50 pp; n_codigos=15) | RRT +11.16 pp (faixa +2.91 pp a +16.42 pp; n_codigos=15) | NEE max +0.271 mcg/kg/min (faixa +0.107 mcg/kg/min a +0.575 mcg/kg/min; n_codigos=15),330.7982133995037,350.0,284.5,375.0,4.83,1750.0,330.7982133995037,350.0,284.5,375.0,4.83,1750.0,,,,,,,,,,,,
2,severe liver disease > 0,maleficio,2,True,bilirubin total; creatinine; dbp; glucose lab; heart rate; hemoglobin; mbp; platelets; potassium; resp rate; sbp; sodium; spo2; temperature,bilirubin total; creatinine; heart rate; hemoglobin; potassium; resp rate; sodium,14,7,15.12,17.65,24.01,True,True,12.0,17.68,+15.12 a +24.01,258-363,8.961799331103679,8.15,"dbp (+24.01 pp, n=304)",9.0,17.62,+15.87 a +23.08,205-274,7.064598540145985,7.0,"creatinine (+23.08 pp, n=208)",614.0,57.81758957654724,62.91693811074919,43.26384364820847,28.94765363128491,9.485342019543976,8.6,"bilirubin total: media=3.55, p50=0.70 | creatinine: media=1.39, p50=0.90 | dbp: media=64.52, p50=63.00 | glucose lab: media=117.79, p50=90.00 | heart rate: media=86.25, p50=84.00 | hemoglobin: media=11.14, p50=10.70 | mbp: media=77.81, p50=75.00 | platelets: media=175.27, p50=179.50 | potassium: media=4.15, p50=4.00 | resp rate: media=18.11, p50=16.00 | sbp: media=112.87, p50=113.50 | sodium: media=138.41, p50=140.00 | spo2: media=97.64, p50=98.00 | temperature: media=36.78, p50=37.00",308.0,58.24025974025974,64.5,43.94805194805195,29.233125000000005,7.084415584415584,7.05,"bilirubin total: media=4.83, p50=0.80 | creatinine: media=1.54, p50=0.90 | dbp: media=61.69, p50=60.00 | glucose lab: media=124.20, p50=105.75 | heart rate: media=88.03, p50=88.00 | hemoglobin: media=9.66, p50=8.30 | mbp: media=75.04, p50=72.00 | platelets: media=154.07, p50=123.00 | potassium: media=4.18, p50=4.00 | resp rate: media=18.46, p50=17.00 | sbp: media=110.60, p50=108.00 | sodium: media=137.56, p50=140.00 | spo2: media=97.42, p50=98.00 | temperature: media=36.79, p50=36.89",ICU LOS +212.6 h (faixa +195.3 h a +251.1 h; n_codigos=9) | VM time +33.4 h (faixa +29.9 h a +35.3 h; n_codigos=9) | Ventilation +17.1 h (faixa +15.5 h a +24.2 h; n_codigos=9) | Any vasopressor -8.76 pp (faixa -13.22 pp a -2.44 pp; n_codigos=9) | RRT +11.81 pp (faixa +9.69 pp a +15.87 pp; n_codigos=9) | NEE max +0.058 mcg/kg/min (faixa +0.047 mcg/kg/min a +0.113 mcg/kg/min; n_codigos=9),ICU LOS +215.2 h (faixa +159.6 h a +266.1 h; n_codigos=12) | VM time +31.6 h (faixa +15.1 h a +39.5 h; n_codigos=12) | Ventilation +18.2 h (faixa +14.3 h a +26.5 h; n_codigos=12) | Any vasopressor -5.03 pp (faixa -12.37 pp a -0.62 pp; n_codigos=12) | RRT +10.42 pp (faixa +7.37 pp a +15.81 pp; n_codigos=12) | NEE max +0.107 mcg/kg/min (faixa +0.039 mcg/kg/min a +0.160 mcg/kg/min; n_codigos=12),537.2845276872964,350.0,350.0,375.0,10.83,8705.0,537.2845276872964,350.0,350.0,375.0,10.83,8705.0,420.59827922077926,350.0,303.75,375.0,12.5,8705.0,420.59827922077926,350.0,303.75,375.0,12.5,8705.0
2,renal disease > 0,maleficio,2,True,bilirubin total; creatinine; dbp; glucose lab; potassium; resp rate,bilirubin total; glucose lab; resp rate,6,3,15.76,16.957500000000003,23.13,True,True,4.0,16.975,+15.76 a +20.99,349-574,8.437992754629338,7.699999999999999,"bilirubin total (+20.99 pp, n=362)",5.0,16.94,+15.93 a +23.13,281-437,7.156748466257668,7.2,"bilirubin total (+23.13 pp, n=281)",896.0,72.56919642857143,56.30803571428572,44.41517857142857,28.68485207100592,8.873325892857142,8.0,"bilirubin total: media=1.08, p50=0.70 | creatinine: media=2.08, p50=1.23 | dbp: media=62.01, p50=58.00 | glucose lab: media=124.23, p50=92.50 | potassium: media=4.25, p50=4.00 | resp rate: media=18.71, p50=18.00",591.0,72.25211505922165,56.165820642978005,44.59560067681896,28.363401162790705,7.19746192893401,7.2,"bilirubin total: media=1.15, p50=0.70 | creatinine: media=2.41, p50=1.50 | dbp: media=59.91, p50=56.00 | glucose lab: media=128.45, p50=101.00 | potassium: media=4.32, p50=4.10 | resp rate: media=18.60, p50=18.00",ICU LOS +211.8 h (faixa +199.6 h a +244.1 h; n_codigos=5) | VM time +38.3 h (faixa +36.6 h a +49.2 h; n_codigos=5) | Ventilation +19.9 h (faixa +18.7 h a +25.2 h; n_codigos=5) | Any vasopressor -10.32 pp (faixa -13.50 pp a -4.58 pp; n_codigos=5) | RRT +17.18 pp (faixa +15.38 pp a +22.06 pp; n_codigos=5) | NEE max -0.009 mcg/kg/min (faixa -0.021 mcg/kg/min a -0.007 mcg/kg/min; n_codigos=5),ICU LOS +175.1 h (faixa +144.1 h a +230.0 h; n_codigos=4) | VM time +32.6 h (faixa +30.0 h a +46.7 h; n_codigos=4) | Ventilation +18.3 h (faixa +15.3 h a +25.9 h; n_codigos=4) | Any vasopressor -11.46 pp (faixa -14.63 pp a -4.14 pp; n_codigos=4) | RRT +15.50 pp (faixa +13.59 pp a +22.10 pp; n_codigos=4) | NEE max -0.047 mcg/kg/min (faixa -0.111 mcg/kg/min a -0.001 mcg/kg/min; n_codigos=4),426.20656249999996,350.0,300.0,375.0,0.72,11415.0,426.20656249999996,350.0,300.0,375.0,0.72,11415.0,355.5433840947547,350.0,290.0,375.0,7.5,2374.0,355.5433840947547,350.0,290.0,375.0,7.5,2374.0
2,congestive heart failure > 0,maleficio,2,True,bilirubin total; resp rate; sbp,bilirubin total; resp rate,3,2,15.25,17.38,18.45,True,True,3.0,16.52,+15.25 a +17.11,282-690,8.929855072463768,7.95,"bilirubin total (+17.11 pp, n=409)",2.0,18.24,+18.03 a +18.45,309-427,7.179724578037486,7.2,"bilirubin total (+18.45 pp, n=309)",910.0,74.50989010989011,54.51758241758242,43.71978021978022,28.4515925925926,8.91043956043956,8.1,"bilirubin total: media=0.92, p50=0.70 | resp rate: media=19.66, p50=19.00 | sbp: media=115.46, p50=115.00",529.0,73.50094517958412,56.58601134215501,44.705103969754255,28.360031645569627,7.200567107750472,7.2,"bilirubin total: media=0.96, p50=0.70 | resp rate: media=20.12, p50=19.00 | sbp: media=113.96, p50=112.00",ICU LOS +241.1 h (faixa +209.5 h a +272.6 h; n_codigos=2) | VM time +43.1 h (faixa +36.2 h a +50.0 h; n_codigos=2) | Ventilation +31.2 h (faixa +26.5 h a +35.8 h; n_codigos=2) | Any vasopressor -4.56 pp (faixa -7.49 pp a -1.62 pp; n_codigos=2) | RRT +12.29 pp (faixa +9.37 pp a +15.21 pp; n_codigos=2) | NEE max +0.056 mcg/kg/min (faixa +0.041 mcg/kg/min a +0.071 mcg/kg/min; n_codigos=2),ICU LOS +180.2 h (faixa +173.4 h a +272.4 h; n_codigos=3) | VM time +32.1 h (faixa +28.7 h a +51.1 h; n_codigos=3) | Ventilation +21.8 h (faixa +13.4 h a +37.3 h; n_codigos=3) | Any vasopressor -5.94 pp (faixa -19.15 pp a +4.89 pp; n_codigos=3) | RRT +7.97 pp (faixa +5.67 pp a +13.20 pp; n_codigos=3) | NEE max -0.002 mcg/kg/min (faixa -0.138 mcg/kg/min a +0.082 mcg/kg/min; n_codigos=3),375.04148351648354,350.0,300.0,375.0,7.5,4079.0,375.04148351648354,350.0,300.0,375.0,7.5,4079.0,347.717618147448,350.0,287.95,350.0,7.5,3500.0,347.717618147448,350.0,287.95,350.0,7.5,3500.0
2,diabetes without cc > 0,maleficio,1,False,creatinine; resp rate,creatinine; resp rate,2,2,15.0,15.215,15.43,True,False,,,,,,,,2.0,15.215,+15.00 a +15.43,260-350,7.258923076923077,7.35,"resp rate (+15.43 pp, n=350)",,,,,,,,,437.0,69.52860411899313,54.85354691075515,42.74370709382151,29.6884674329502,7.244622425629291,7.3,"creatinine: media=1.56, p50=1.10 | resp rate: media=19.55, p50=19.00",ICU LOS +174.9 h (faixa +143.8 h a +206.1 h; n_codigos=2) | VM time +40.1 h (faixa +36.7 h a +43.4 h; n_codigos=2) | Ventilation +24.0 h (faixa +21.1 h a +26.9 h; n_codigos=2) | Any vasopressor +2.12 pp (faixa -1.14 pp a +5.38 pp; n_codigos=2) | RRT +6.55 pp (faixa +6.54 pp a +6.57 pp; n_codigos=2) | NEE max -0.037 mcg/kg/min (faixa -0.097 mcg/kg/min a +0.022 mcg/kg/min; n_codigos=2),sem dados secundarios,,,,,,,,,,,,,338.9089702517162,350.0,297.0,375.0,14.17,3500.0,338.9089702517162,350.0,297.0,375.0,14.17,3500.0
2,diabetes without cc > 0,beneficio,2,True,dbp; hemoglobin; mbp,dbp; mbp,3,2,-27.42,-22.3675,-16.98,True,True,2.0,-17.814999999999998,-18.65 a -16.98,695-724,9.842900552486189,8.7,"mbp (-18.65 pp, n=724)",3.0,-26.92,-27.42 a -18.60,215-361,7.427423822714682,7.5,"mbp (-27.42 pp, n=361)",754.0,69.88726790450929,46.97877984084881,41.05702917771883,29.85222602739725,9.816578249336873,8.7,"dbp: media=75.84, p50=80.00 | hemoglobin: media=12.09, p50=14.00 | mbp: media=90.44, p50=93.00",428.0,70.84579439252336,48.08411214953271,41.427570093457945,29.08578488372093,7.423364485981308,7.5,"dbp: media=72.44, p50=80.00 | hemoglobin: media=11.19, p50=14.00 | mbp: media=87.27, p50=93.00",ICU LOS +69.6 h (faixa +43.6 h a +81.2 h; n_codigos=3) | VM time +17.9 h (faixa +13.1 h a +17.9 h; n_codigos=3) | Ventilation +13.1 h (faixa +3.4 h a +15.8 h; n_codigos=3) | Any vasopressor +13.61 pp (faixa +8.64 pp a +13.85 pp; n_codigos=3) | RRT -1.66 pp (faixa -1.82 pp a -1.18 pp; n_codigos=3) | NEE max -0.070 mcg/kg/min (faixa -0.070 mcg/kg/min a -0.065 mcg/kg/min; n_codigos=3),ICU LOS +117.0 h (faixa +115.8 h a +118.1 h; n_codigos=2) | VM time +24.0 h (faixa +23.4 h a +24.6 h; n_codigos=2) | Ventilation +16.4 h (faixa +16.3 h a +16.5 h; n_codigos=2) | Any vasopressor +5.98 pp (faixa +5.32 pp a +6.63 pp; n_codigos=2) | RRT -0.43 pp (faixa -0.72 pp a -0.14 pp; n_codigos=2) | NEE max -0.065 mcg/kg/min (faixa -0.066 mcg/kg/min a -0.063 mcg/kg/min; n_codigos=2),682.5668302387268,375.0,350.0,700.0,0.72,11729.0,682.5668302387268,375.0,350.0,700.0,0.72,11729.0,566.569836448598,350.0,350.0,625.0,25.0,11729.0,566.569836448598,350.0,350.0,625.0,25.0,11729.0
2,renal disease > 0,beneficio,1,False,dbp; hemoglobin; mbp,dbp; hemoglobin; mbp,3,3,-22.94,-22.11,-17.2,True,False,,,,,,,,3.0,-22.11,-22.94 a -17.20,250-407,7.32061855670103,7.4,"dbp (-22.94 pp, n=388)",,,,,,,,,482.0,70.51244813278008,53.32365145228216,44.871369294605806,28.165000000000003,7.292531120331949,7.4,"dbp: media=73.11, p50=80.00 | hemoglobin: media=11.20, p50=14.00 | mbp: media=87.85, p50=93.00",ICU LOS +262.4 h (faixa +247.3 h a +328.0 h; n_codigos=3) | VM time +41.5 h (faixa +40.1 h a +47.7 h; n_codigos=3) | Ventilation +26.1 h (faixa +23.1 h a +27.6 h; n_codigos=3) | Any vasopressor +11.06 pp (faixa +3.95 pp a +11.86 pp; n_codigos=3) | RRT +13.51 pp (faixa +9.49 pp a +14.69 pp; n_codigos=3) | NEE max +0.033 mcg/kg/min (faixa -0.020 mcg/kg/min a +0.039 mcg/kg/min; n_codigos=3),sem dados secundarios,,,,,,,,,,,,,587.8753319502074,350.0,350.0,700.0,9.62,6953.0,587.8753319502074,350.0,350.0,700.0,9.62,6953.0
2,congestive heart failure > 0,beneficio,1,False,dbp; mbp,dbp; mbp,2,2,-17.85,-17.715,-17.58,True,False,,,,,,,,2.0,-17.715,-17.85 a -17.58,472-493,7.397164540860178,7.5,"mbp (-17.85 pp, n=493)",,,,,,,,,506.0,72.1086956521739,47.80434782608695,43.42885375494071,27.75768707482993,7.394268774703558,7.5,"dbp: media=75.72, p50=80.00 | mbp: media=90.18, p50=93.00",ICU LOS +256.5 h (faixa +247.1 h a +265.9 h; n_codigos=2) | VM time +38.1 h (faixa +37.5 h a +38.7 h; n_codigos=2) | Ventilation +28.2 h (faixa +26.7 h a +29.6 h; n_codigos=2) | Any vasopressor +15.13 pp (faixa +15.04 pp a +15.21 pp; n_codigos=2) | RRT +4.04 pp (faixa +4.03 pp a +4.06 pp; n_codigos=2) | NEE max +0.036 mcg/kg/min (faixa +0.035 mcg/kg/min a +0.037 mcg/kg/min; n_codigos=2),sem dados secundarios,,,,,,,,,,,,,634.0851976284584,350.0,350.0,700.0,15.0,8786.0,634.0851976284584,350.0,350.0,700.0,15.0,8786.0
